episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
18,6010,high_dynamic_accel_straight_l56__low_friction_seen,360,-447.8087384998061,False,False,0.6646184871944423,6010,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.6564487486563708,0.43092495961251504,0.0016,0.42932495961251504,0.0,0.0,False,1.0,0.0,1.0,0.0
19,6170,high_dynamic_sweep_l56__long_delay_seen,160,26.05525638231184,True,False,0.24015518149894113,6170,uniform,disabled,configured_initial,1.0,1.0,0.0,160,0.4106563845355841,0.16863866615983755,0.0016,0.16703866615983756,0.0,0.0,False,1.0,0.0,1.0,0.0
20,6530,high_dynamic_accel_straight_l56__high_mass_seen,360,-384.08762024725604,False,False,0.6854150524797933,6530,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.6273197004916379,0.3935300066249182,0.0016,0.3919300066249182,0.0,0.0,False,1.0,0.0,1.0,0.0
21,6785,high_dynamic_chicane_l56__long_delay_seen,255,70.60259500754023,True,False,0.23079616285402765,6785,uniform,disabled,configured_initial,1.0,1.0,0.0,255,0.2229696400882645,0.04971546040109021,0.0016,0.048115460401090215,0.0,0.0,False,1.0,0.0,1.0,0.0
22,7105,high_dynamic_accel_turn_l56__low_friction_seen,320,-132.54780318750423,False,False,0.8761417627145853,7105,uniform,disabled,configured_initial,1.0,1.0,0.0,320,0.4285573111355378,0.18366136892772217,0.0016,0.18206136892772218,0.0,0.0,False,1.0,0.0,1.0,0.0
23,7328,high_dynamic_chicane_l56__low_friction_seen,223,70.3982919299292,True,False,0.23839391088681214,7328,uniform,disabled,configured_initial,1.0,1.0,0.0,223,0.2283816310614942,0.052158169406308456,0.0016,0.05055816940630846,0.0,0.0,False,1.0,0.0,1.0,0.0
24,7514,high_dynamic_chicane_l56__nominal_seen,186,68.5391957409693,True,False,0.22887839082773662,7514,uniform,disabled,configured_initial,1.0,1.0,0.0,186,0.2716292846903581,0.07378246830139559,0.0016,0.07218246830139559,0.0,0.0,False,1.0,0.0,1.0,0.0
25,7819,high_dynamic_chicane_l56__long_delay_seen,305,22.136685574854944,True,False,0.23073759804151792,7819,uniform,disabled,configured_initial,1.0,1.0,0.0,305,0.296645404861307,0.08799849622532877,0.0016,0.08639849622532876,0.0,0.0,False,1.0,0.0,1.0,0.0
26,8020,high_dynamic_chicane_l56__long_delay_seen,201,78.23592910498657,True,False,0.2423288237590579,8020,uniform,disabled,configured_initial,1.0,1.0,0.0,201,0.2293215451712609,0.05258837107973466,0.0016,0.05098837107973466,0.0,0.0,False,1.0,0.0,1.0,0.0
27,8192,high_dynamic_sweep_l56__nominal_seen,172,79.05764885858909,True,False,0.22923058606918353,8192,uniform,disabled,configured_initial,1.0,1.0,0.0,172,0.21697812404539868,0.047079506314260416,0.0016,0.04547950631426042,0.0,0.0,False,1.0,0.0,1.0,0.0
