time,x,y,theta,v,omega,goal_distance,collision,clearance,slip_ratio,dynamic_obstacle_count,nearest_dynamic_obstacle_center_distance,proposed_v,proposed_omega,executed_v,executed_omega,applied_v,applied_omega,safety_override,safety_reason,temporal_scan_valid,temporal_scan_closing_rate_mps,temporal_scan_ttc_s,temporal_scan_risk_alpha,temporal_scan_support_beams,temporal_scan_rejected_jump_fraction,temporal_scan_held,reference_id,target_phase,target_x,target_y,terminal_heading_gate_active,terminal_bearing_error,terminal_translation_scale,terminal_alignment_active,terminal_alignment_omega,planner_compute_ms,profile_planner_state_reference_ms,profile_planner_prior_ms,profile_mppi_sampling_ms,profile_mppi_batch_rollout_ms,profile_mppi_cost_ms,profile_mppi_weighting_update_ms,profile_mppi_final_rollout_ms,profile_mppi_solve_total_ms,planner_cost_min,planner_cost_mean,effective_sample_size,sample_saturation_fraction,residual_support_confidence_mean,residual_support_confidence_min,residual_support_reduced_fraction,residual_support_disabled_fraction,residual_reliability_enabled,residual_reliability_alpha,residual_reliability_evidence_alpha,residual_reliability_context_alpha,residual_reliability_context_value,residual_reliability_samples,residual_reliability_mean_improvement,residual_reliability_lcb,residual_reliability_last_relative_improvement,residual_reliability_nominal_error,residual_reliability_residual_error,optimizer,rl_driven_total_rollouts,paper_total_rollouts,paper_candidates_per_iteration,paper_guided_unique_sequences,paper_guided_reuses,reliability_hss_enabled,reliability_level,reliability_authority,reliability_dynamics_confidence,reliability_actor_confidence,reliability_ensemble_disagreement_max,reliability_innovation_error_ema,reliability_guided_fraction_applied,reliability_guided_fraction_next,reliability_guided_fraction_raw_applied,reliability_guided_fraction_raw_next,terminal_guidance_floor_enabled,terminal_guidance_floor_active,terminal_guidance_terminal_phase,terminal_guidance_distance,terminal_guidance_radius,terminal_guided_fraction_floor,paper_guided_elite_count,paper_gaussian_elite_count,rl_source_samples,shifted_source_samples,base_source_samples,rl_elite_count,shifted_elite_count,base_elite_count,rl_elite_fraction,covariance_scale_mean,terminal_value_enabled,terminal_value_weight,terminal_value_conservative_enabled,terminal_value_authority_mean,terminal_value_authority_min,terminal_value_authority_max,terminal_value_dynamics_confidence_mean,terminal_value_critic_confidence_mean,terminal_value_uncertainty_mean,terminal_value_uncertainty_cost_mean,terminal_q_mean,terminal_q_disagreement_mean,anytime_selected_samples,anytime_add_samples,anytime_predicted_advantage,anytime_confidence_width,anytime_score,anytime_decision_refreshed,prior_type,rl_gate_mode,rl_gate_alpha,rl_policy_mode,rl_correction_gate_alpha,rl_base_action_abs_mean,rl_unit_correction_abs_mean,rl_applied_correction_abs_mean,rl_applied_correction_abs_max,rl_raw_applied_correction_abs_mean,rl_correction_advantage_gate_mode,rl_correction_advantage_critic_source,rl_correction_advantage_threshold,rl_correction_advantage_uncertainty_multiplier,rl_correction_advantage_gate_alpha,rl_correction_support_gate_enabled,rl_correction_support_confidence,rl_correction_effective_gate_alpha,rl_unselected_critic_diagnostics_computed,rl_selected_consensus_lcb,rl_online_q1_base,rl_online_q2_base,rl_online_q1_candidate,rl_online_q2_candidate,rl_target_q1_base,rl_target_q2_base,rl_target_q1_candidate,rl_target_q2_candidate,rl_online_advantage_q1,rl_online_advantage_q2,rl_online_conservative_advantage,rl_target_advantage_q1,rl_target_advantage_q2,rl_target_conservative_advantage,rl_ood_score,rl_scene_complexity_score,rl_scene_complexity_front_proximity,rl_scene_complexity_constriction,rl_scene_complexity_density,rl_scene_complexity_front_clearance_m,rl_scene_complexity_left_clearance_m,rl_scene_complexity_right_clearance_m,rl_scene_complexity_near_obstacle_fraction,rl_scene_complexity_scan_valid,rl_temporal_closing_gate_alpha,rl_temporal_closing_rate_mps,rl_temporal_closing_held,rl_hazard_activation,rl_competence_confidence,rl_baseline_progress_m,rl_baseline_progress_window_s,rl_baseline_progress_gate_ready,rl_baseline_stagnation_activation,rl_baseline_stagnation_held,rl_learned_inference_skipped,profile_prior_fallback_ms,profile_prior_encode_normalize_ms,profile_prior_gate_features_ms,profile_prior_actor_ms,profile_prior_advantage_ms,profile_prior_decoder_ms,profile_prior_outer_gate_ms,profile_prior_total_ms,rl_critic_disagreement,rl_exploration_activation,rl_exploration_latch_alpha,rl_subgoal_distance,rl_subgoal_bearing,rl_subgoal_x_body,rl_subgoal_y_body
0.10000000000000007,0.0005996476346891728,-1.6099567365939048e-07,-0.001243201192456805,0.01785121487469082,-0.03893166150475031,5.241122380908717,0.0,inf,0.07653728876319504,0,inf,0.07565827343401291,-0.2781424851303214,0.07565827343401291,-0.2781424851303214,0.045394964060407765,-0.16688549107819287,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.620,tracking,0.6129465815730608,-0.07323664539326517,0.0,0.0,1.0,0.0,0.0,360.9414209931856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8916094587989676,4.105716850591131,8.603627983599038,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6173063405559348,0.0,0.0,7,13,0,0,0,0,0,0,0.0,0.3467594988181072,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39.75697780609131,1.2580393600463866,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.20000000000000015,0.004826266232607616,2.424060460783614e-06,-0.008608342747792125,0.07377270471304298,-0.14744553066670052,5.2369297612047765,0.0,inf,0.003799979356752476,0,inf,0.15648702194715786,-0.5554558580409027,0.15648702194715786,-0.5554558580409027,0.12415552254189993,-0.44453050887667056,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.621,tracking,0.6135276072093361,-0.07338190180233399,0.0,0.0,1.0,0.0,0.0,283.85826299199834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02029158310396184,7.7715296156234,9.516171335467407,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6173050813918154,0.0,0.0,4,16,0,0,0,0,0,0,0.0,0.3463742008928996,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39.180402755737305,1.5949750518798829,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.3000000000000002,0.01530132498702946,-5.142209758276221e-05,-0.029194815111632376,0.13682498365450063,-0.2443328923732352,5.226531591424343,0.0,inf,0.08674504736901362,0,inf,0.18177646975808934,-0.4689906008964641,0.18177646975808934,-0.4689906008964641,0.1716606906337168,-0.5035767037542399,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.625,tracking,0.6176227883683589,-0.0744056970920897,0.0,0.0,1.0,0.0,0.0,266.4185119938338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.915570303852526,10.609931025280389,2.7768846085910055,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6172974534494088,0.0,0.0,6,14,0,0,0,0,0,0,0.0,0.3489371127411203,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39.388866443634036,1.2697020530700684,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4000000000000003,0.031840942423563744,-0.0006451821147204429,-0.05423542093647545,0.2081222622876561,-0.18713643159338186,5.2100495986389515,0.0,inf,0.08179997680487712,0,inf,0.27858212283216177,-0.21587496166363246,0.27858212283216177,-0.21587496166363246,0.23985986160253286,-0.3171212173567647,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.635,tracking,0.6277750176148345,-0.07694375440370861,0.0,0.0,1.0,0.0,0.0,266.94664399838075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2471404760913742,11.29702961489158,7.029107899237458,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6172815037959705,0.0,0.0,7,13,0,0,0,0,0,0,0.0,0.357608328534976,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.13624828338623,1.2318606567382813,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5000000000000003,0.056319689285851154,-0.0020773771000105246,-0.07137119583698891,0.2991431018263502,-0.22675366969944835,5.1855866897152545,0.0,inf,0.11028571483052176,0,inf,0.37723776656559194,-0.48364426332346877,0.37723776656559194,-0.48364426332346877,0.3377755090722201,-0.3765365426595346,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.652,tracking,0.6438295493797798,-0.08095738734494493,0.0,0.0,1.0,0.0,0.0,271.9493019976653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6795862279756975,12.67688339694707,8.3090684737371,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6172358587713059,0.0,0.0,8,12,0,0,0,0,0,0,0.0,0.3365540800847024,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.69394920349121,1.1874234771728516,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6000000000000004,0.0899280648487319,-0.00474300868665381,-0.09634243572931474,0.37530538108881795,-0.22202216665681002,5.151911966162237,0.0,inf,0.10651931791655,0,inf,0.44527241919527205,-0.2864433981591477,0.44527241919527205,-0.2864433981591477,0.4180585581434002,-0.3653237442248764,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.676,tracking,0.667617177747801,-0.08690429443695023,0.0,0.0,1.0,0.0,0.0,278.4998499992071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.138727752401067,17.812427562210054,4.900715683949017,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6171549443249853,0.0,0.0,10,10,0,0,0,0,0,0,0.0,0.33132518847721576,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.89648040771485,1.1387889099121093,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7000000000000005,0.13224238197714708,-0.009282996544861102,-0.11679696542483234,0.4679259534368706,-0.1827406093118102,5.109363942176589,0.0,inf,0.0007802359595350859,0,inf,0.5144803677031967,-0.16888079991640498,0.5144803677031967,-0.16888079991640498,0.48679718830002683,-0.21590583921350198,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.710,tracking,0.7003105521586019,-0.09507763803965046,0.0,0.0,1.0,0.0,0.0,274.0588589949766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.360764504963043,19.67948956134667,8.52464347610378,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6170308955594743,0.0,0.0,8,12,0,0,0,0,0,0,0.0,0.34663452201235717,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,41.17871913909912,1.080291404724121,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8000000000000006,0.18246351637154073,-0.015521082780604902,-0.1277511227083232,0.5273345296275632,-0.027811551329833865,5.058757301875919,0.0,inf,0.006033655065823861,0,inf,0.5185429824382455,0.13373841400423742,0.5185429824382455,0.13373841400423742,0.5169179365442255,0.01269072843598046,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.753,tracking,0.7415301989322658,-0.10538254973306643,0.0,0.0,1.0,0.0,0.0,270.57573800266255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.25066155066142,22.62195651827385,7.161251461937453,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6168198829584751,0.0,0.0,4,16,0,0,0,0,0,0,0.0,0.33814278024090094,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39.97346902728081,0.869355376958847,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9000000000000007,0.22556497030363837,-0.022289844678198518,-0.13628471237221457,0.3321127066040425,-0.17115013620044414,5.015144873966334,0.0,inf,0.3822205869431201,0,inf,0.4924497890844686,0.09101134256086703,0.4924497890844686,0.09101134256086703,0.5028870664259791,0.10810217113821513,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.803,tracking,0.7904932817937116,-0.1176233204484279,0.0,0.0,1.0,0.0,0.0,262.530109990621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.534284972350747,24.098941534260916,5.58164545161648,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.6165428310961996,0.0,0.0,5,15,0,0,0,0,0,0,0.0,0.3336881053327086,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,40.301644783020016,0.7551396942138672,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0000000000000007,0.263311508418612,-0.02776017982227043,-0.1415454225301095,0.45788718282302265,-0.022169134420450817,4.977009187567417,0.0,inf,0.08309002294031101,0,inf,0.5664778345788737,0.03889597785160215,0.5664778345788737,0.03889597785160215,0.5368666163811114,0.059742123735308024,0.0,front_clear,0.0,0.0,inf,0.0,0,0.0,0.0,polyline_0.846,tracking,0.8294289318031061,-0.13618591249170833,0.0,0.0,1.0,0.0,0.0,282.87724500114564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.337440272390232,22.38886117957799,5.22884276155788,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,paper_rl_driven,0,100,50,15,30,0.0,disabled,1.0,1.0,1.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.614511186441069,0.0,0.0,10,10,0,0,0,0,0,0,0.0,0.34438052193167645,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,39.85003749847412,0.7898528957366944,0,0.0,0.0,0.0,0.0,0.0,paper_direct_control,disabled,0.0,direct,0.0,0.0,0.0,0.0,0.0,0.0,none,online,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
