scene,arm,episodes,success_mean,collision_mean,path_completion_ratio_mean,safety_interventions_mean,last_200_displacement_m_mean,last_200_abs_proposed_v_mean_mean,last_200_abs_applied_v_mean_mean,last_200_abs_applied_omega_mean_mean,last_200_front_slow_fraction_mean,last_200_front_soft_block_fraction_mean,last_200_near_body_hard_stop_fraction_mean,final_clearance_mean,counterfactual_authority_mean_mean,proposal_authority_mean_mean
l218_cylinder_spiral,full_proposed,3,0.0,0.0,0.5902005567132297,663.6666666666666,0.015343045129501036,0.05520667969675202,0.00074590688636291,0.22217611039741514,0.02666666666666667,0.0,0.9733333333333333,0.13777764815467594,0.0036565941285440144,0.0
l218_cylinder_spiral,icode_mppi,3,0.0,0.0,0.6301883844943955,638.3333333333334,0.021023846074016653,0.056744940609767015,0.001047182368922684,0.2615887500949927,0.023333333333333334,0.0,0.9766666666666666,0.14086812233829157,1.0,1.0
l218_nested_u,full_proposed,3,0.0,0.0,0.38448130568636935,757.6666666666666,0.3956299739249795,0.04804392444900407,0.020167007221473375,0.23989382265888418,0.9583333333333334,0.041666666666666664,0.0,0.21730149141115804,0.00037037037037037035,0.0
l218_nested_u,icode_mppi,3,0.0,0.0,0.4012552469419126,745.6666666666666,0.43964464754933646,0.0526235319265427,0.022405574205444246,0.24989600849581373,0.9866666666666667,0.013333333333333334,0.0,0.22759889196859642,1.0,1.0
l218_serpentine,full_proposed,3,0.0,0.0,0.2552651828493228,632.6666666666666,0.5247755868271647,0.04801753608195116,0.026532782946416023,0.2530521089582755,1.0,0.0,0.0,0.2928680572323025,0.3438190361613201,0.07496064592872721
l218_serpentine,icode_mppi,3,0.0,0.0,0.24748815263042348,641.0,0.6153328531948595,0.057188109291240304,0.031462975540693675,0.28326890042659536,0.9899999999999999,0.01,0.0,0.30012969734783784,1.0,1.0
