benchmark_arm,episodes,independent_seeds,success_mean,collision_mean,steps_mean,final_goal_distance_mean,trajectory_length_mean,minimum_clearance_mean,stuck_steps_mean,spin_steps_mean,mean_abs_omega_mean,control_jerk_mean,planner_compute_ms_mean_mean,planner_compute_ms_p95_mean,planner_compute_ms_max_mean,paper_total_rollouts_mean_mean
traditional_mppi,60,10,0.0,0.0,600.0,3.3989472117716,0.99547646291649,0.15921839809596347,481.45,29.333333333333332,0.262946768458759,0.17016575360579858,4.788520455268251,6.90675210758248,19.002242163696792,0.0
icode_mppi,60,10,0.0,0.0,600.0,3.3897602197638905,1.001097478202754,0.16318303334688486,480.98333333333335,15.333333333333334,0.2161770089919476,0.1626818275213114,97.70134821375619,122.25379594189387,205.25691515019085,0.0
rl_driven_mppi,60,10,0.9833333333333333,0.0,429.15,0.298279694567614,6.926850721625233,0.36352133975429446,85.63333333333334,5.55,0.20904432299899683,0.07615705054144356,31.77390989614459,38.572694614364686,52.63003963385321,100.0
simple_combination,60,10,1.0,0.0,429.35,0.2982963285855922,6.850553622907188,0.3585241235454365,90.26666666666667,6.283333333333333,0.208852083621756,0.07443222214696979,187.25516360140983,230.82939504703972,282.400606131705,100.0
value_fixed,60,10,1.0,0.0,439.1,0.2979468638152033,6.834568344310044,0.35989482918387933,101.35,5.633333333333334,0.20196570042679476,0.07375102847544336,186.9592262518739,233.44241429207614,281.55466645063524,100.0
ordinary_adaptive,60,10,1.0,0.0,417.7,0.2976442880898542,6.735951378204746,0.33615613586237064,83.65,4.966666666666667,0.1982596130914697,0.07936615572696232,196.60089409041584,246.92397877387216,306.07456703291973,100.0
full_proposed,60,10,1.0,0.0,411.93333333333334,0.29780563397731785,6.707184111582723,0.34174514769153563,81.45,5.283333333333333,0.20181888535842976,0.08024234567174465,193.65207498912596,239.98375278900008,281.37413596753805,100.0
