benchmark_arm,scene,episodes,independent_seeds,success_mean,collision_mean,path_completion_ratio_mean,path_cross_track_rmse_recomputed_mean,final_goal_distance_mean,steps_mean,minimum_clearance_mean,control_jerk_mean,safety_interventions_mean,planner_compute_ms_mean_mean,residual_policy_context_enabled_fraction_mean,reliability_hss_enabled_fraction_mean,reliability_actor_support_confidence_mean_mean,reliability_proposal_authority_mean_mean,reliability_proposal_fallback_fraction_mean_mean
full_proposed,all,18,3,0.5,0.0,0.6885065577091264,0.16694815948545424,1.4169890678425612,716.2222222222222,0.20756922134826436,0.22151081895641214,444.6111111111111,245.65643400814568,1.0,1.0,0.19854302034521498,0.03530675619953861,0.9646932438004614
full_proposed,l218_cylinder_forest,3,3,1.0,0.0,0.9636703047079781,0.17034113969869355,0.2975583000780065,548.6666666666666,0.1513763595471858,0.2146143710386903,240.33333333333334,246.17129932986697,1.0,1.0,0.14970095467067726,0.022669251052262602,0.9773307489477375
full_proposed,l218_cylinder_spiral,3,3,0.0,0.0,0.5902005567132297,0.041726335503105054,1.509065738628636,900.0,0.1327951169144126,0.2514831930645499,663.6666666666666,242.3992859819986,1.0,1.0,0.0,0.0,1.0
full_proposed,l218_giant_u,3,3,1.0,0.0,0.9687357408307554,0.2309193430761275,0.2929959083886005,437.0,0.37638171427666567,0.20064436939767785,76.33333333333333,247.01536646336947,1.0,1.0,0.6209035399294086,0.070509866125456,0.9294901338745438
full_proposed,l218_nested_u,3,3,0.0,0.0,0.38448130568636935,0.0701979872714582,1.8459478359410408,900.0,0.203318765194068,0.24570067406686977,757.6666666666666,242.55306953783102,1.0,1.0,0.0,0.0,1.0
full_proposed,l218_opposed_u,3,3,1.0,0.0,0.9686862554671034,0.2395620311304564,0.2993016161395547,611.6666666666666,0.21043350468482735,0.16908397404467704,297.0,244.2530853914624,1.0,1.0,0.2712780584234528,0.043700774090785856,0.9562992259092141
full_proposed,l218_serpentine,3,3,0.0,0.0,0.2552651828493228,0.2489421202328849,4.25706500787953,900.0,0.17110986747242662,0.24753833212600776,632.6666666666666,251.5464973443455,1.0,1.0,0.14937556904775126,0.07496064592872721,0.9250393540712727
icode_mppi,all,18,3,0.5,0.0,0.6965000827656935,0.14793002208727174,1.402767714915043,731.7222222222222,0.19756678578490022,0.22823864736035837,460.77777777777777,67.41076369907914,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_cylinder_forest,3,3,1.0,0.0,0.9634564003888988,0.1597832755342022,0.29869615583631787,556.6666666666666,0.14391151032655977,0.22151759512166155,266.6666666666667,70.98332797277602,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_cylinder_spiral,3,3,0.0,0.0,0.6301883844943955,0.05393635558919193,1.4928687401498035,900.0,0.13766145279416608,0.25527467170825024,638.3333333333334,63.90053477766708,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_giant_u,3,3,1.0,0.0,0.9681331727563283,0.22126234041090462,0.29809495635116107,452.0,0.3592130906755358,0.21408022536582383,90.33333333333333,73.6511137842357,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_nested_u,3,3,0.0,0.0,0.4012552469419126,0.06396766754900665,1.8075500712176147,900.0,0.16616022840751568,0.25450925516310924,745.6666666666666,64.2342717203967,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_opposed_u,3,3,1.0,0.0,0.968479139382202,0.19915981014126305,0.2986028651236118,681.6666666666666,0.16924834900974228,0.16611690920089903,382.6666666666667,68.38165975039124,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_serpentine,3,3,0.0,0.0,0.24748815263042348,0.18947068329906205,4.22079350081175,900.0,0.20920608349588177,0.2579332276024064,641.0,63.313674189008054,0.0,0.0,1.0,1.0,0.0
old_full_proposed,all,18,3,0.5,0.0,0.6910240952077537,0.16579483347120252,1.412431813355114,729.6111111111111,0.22031944453019134,0.21882109460161342,453.94444444444446,353.1039549007505,1.0,1.0,0.0,0.0,1.0
old_full_proposed,l218_cylinder_forest,3,3,1.0,0.0,0.9646089124132936,0.19500053959051786,0.2930434572344725,573.6666666666666,0.14529678859145187,0.2115920093520219,260.6666666666667,356.72624670868703,1.0,1.0,0.0,0.0,1.0
old_full_proposed,l218_cylinder_spiral,3,3,0.0,0.0,0.6117093253628793,0.04525463823293677,1.5010140109338692,900.0,0.13363678536116277,0.24772336736496606,661.3333333333334,350.528287005932,1.0,1.0,0.0,0.0,1.0
old_full_proposed,l218_giant_u,3,3,1.0,0.0,0.9689063327054185,0.24615472604456148,0.2935703694520015,451.3333333333333,0.39606213456272926,0.2012555237404523,89.0,369.2305202421339,1.0,1.0,0.0,0.0,1.0
old_full_proposed,l218_nested_u,3,3,0.0,0.0,0.3784115347499253,0.07318732377466786,1.849626793540463,900.0,0.1890619350879883,0.24116956978028936,751.0,349.7473270886931,1.0,1.0,0.0,0.0,1.0
old_full_proposed,l218_opposed_u,3,3,1.0,0.0,0.9682247199935459,0.23687653374263207,0.2994660743426338,652.6666666666666,0.24513792473355944,0.15876880109934466,342.6666666666667,349.4146519621552,1.0,1.0,0.0,0.0,1.0
