benchmark_arm,scene,episodes,independent_seeds,success_mean,collision_mean,path_completion_ratio_mean,path_cross_track_rmse_recomputed_mean,final_goal_distance_mean,steps_mean,minimum_clearance_mean,control_jerk_mean,safety_interventions_mean,planner_compute_ms_mean_mean,residual_policy_context_enabled_fraction_mean,reliability_hss_enabled_fraction_mean,reliability_actor_support_confidence_mean_mean,reliability_proposal_authority_mean_mean,reliability_proposal_fallback_fraction_mean_mean
full_proposed,all,18,3,0.2777777777777778,0.0,0.5203505314398328,0.4022958852948685,2.299470934182747,811.8888888888889,0.2186620816743262,0.21683486531366059,378.55555555555554,293.43198045801364,1.0,1.0,0.37173916094594517,0.3653359611391742,0.6346640388608257
full_proposed,l218_cylinder_forest,3,3,0.6666666666666666,0.0,0.7799206118912311,0.7984271818077135,1.6879520312055611,693.3333333333334,0.1304692335152694,0.21714515689172706,221.66666666666666,283.2258614082597,1.0,1.0,0.32966875303187054,0.31157435718639875,0.6884256428136012
full_proposed,l218_cylinder_spiral,3,3,0.0,0.0,0.5902005567132297,0.041726335503105054,1.509065738628636,900.0,0.1327951169144126,0.2514831930645499,663.6666666666666,219.4165967862527,1.0,1.0,0.0,0.0,1.0
full_proposed,l218_giant_u,3,3,1.0,0.0,0.9720167106758816,0.5110672425982029,0.295547433826836,578.0,0.26494757992456425,0.18762422869406445,20.333333333333332,389.01032103017906,1.0,1.0,0.7400281209983829,0.7255642686123097,0.27443573138769023
full_proposed,l218_nested_u,3,3,0.0,0.0,0.38448130568636935,0.0701979872714582,1.8459478359410408,900.0,0.203318765194068,0.24570067406686977,757.6666666666666,219.84384643598415,1.0,1.0,0.0,0.0,1.0
full_proposed,l218_opposed_u,3,3,0.0,0.0,0.13715890355004293,0.7031736395184786,4.161706841115695,900.0,0.36081821737354564,0.15229216374275714,0.0,395.3575725656615,1.0,1.0,0.9724673476263329,0.9724673476263329,0.027532652373667116
full_proposed,l218_serpentine,3,3,0.0,0.0,0.2583251001222429,0.28918292507025245,4.296605724378714,900.0,0.2196235771240971,0.24676377542199499,608.0,253.7376845217444,1.0,1.0,0.1882707440190845,0.18240979341000407,0.8175902065899959
icode_mppi,all,18,3,0.5,0.0,0.6965000827656935,0.14793002208727174,1.402767714915043,731.7222222222222,0.19756678578490022,0.22823864736035837,460.77777777777777,73.6807263613778,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_cylinder_forest,3,3,1.0,0.0,0.9634564003888988,0.1597832755342022,0.29869615583631787,556.6666666666666,0.14391151032655977,0.22151759512166155,266.6666666666667,80.31374721000115,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_cylinder_spiral,3,3,0.0,0.0,0.6301883844943955,0.05393635558919193,1.4928687401498035,900.0,0.13766145279416608,0.25527467170825024,638.3333333333334,73.68870565082439,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_giant_u,3,3,1.0,0.0,0.9681331727563283,0.22126234041090462,0.29809495635116107,452.0,0.3592130906755358,0.21408022536582383,90.33333333333333,82.72781428785667,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_nested_u,3,3,0.0,0.0,0.4012552469419126,0.06396766754900665,1.8075500712176147,900.0,0.16616022840751568,0.25450925516310924,745.6666666666666,72.84408916897115,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_opposed_u,3,3,1.0,0.0,0.968479139382202,0.19915981014126305,0.2986028651236118,681.6666666666666,0.16924834900974228,0.16611690920089903,382.6666666666667,62.90667010966786,0.0,0.0,1.0,1.0,0.0
icode_mppi,l218_serpentine,3,3,0.0,0.0,0.24748815263042348,0.18947068329906205,4.22079350081175,900.0,0.20920608349588177,0.2579332276024064,641.0,69.60333174094558,0.0,0.0,1.0,1.0,0.0
