episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
0,320,high_dynamic_accel_turn_l56__low_friction_seen,320,-2452.8763402125082,False,False,4.764935343584646,320,uniform,disabled,configured_initial,1.0,1.0,0.0,320,1.9272398134833006,3.714253298675147,0.0016,3.7126532986751473,0.0,0.0,False,1.0,0.0,1.0,0.0
1,680,high_dynamic_accel_straight_l56__long_delay_seen,360,-12627.685415786429,False,False,8.142325868722919,680,uniform,disabled,configured_initial,1.0,1.0,0.0,360,4.178817850619471,17.46251862865594,0.0016,17.46091862865594,0.0,0.0,False,1.0,0.0,1.0,0.0
2,980,high_dynamic_sweep_l56__high_mass_seen,300,-1888.2574386269666,False,False,4.079726176990442,980,uniform,disabled,configured_initial,1.0,1.0,0.0,300,1.7792151412284791,3.165606518776677,0.0016,3.1640065187766773,0.0,0.0,False,1.0,0.0,1.0,0.0
3,1340,high_dynamic_accel_straight_l56__long_delay_seen,360,-5151.26913431747,False,False,5.83254991519141,1340,uniform,disabled,configured_initial,1.0,1.0,0.0,360,2.654998594778591,7.049017538276291,0.0016,7.047417538276291,0.0,0.0,False,1.0,0.0,1.0,0.0
4,1680,high_dynamic_chicane_l56__high_mass_seen,340,-12611.913158568796,False,False,6.509334641736484,1680,uniform,disabled,configured_initial,1.0,1.0,0.0,340,4.271239902642691,18.243490305927146,0.0016,18.241890305927146,0.0,0.0,False,1.0,0.0,1.0,0.0
5,2000,high_dynamic_accel_turn_l56__nominal_seen,320,-15011.23460111648,False,False,8.829397475645678,2000,uniform,disabled,configured_initial,1.0,1.0,0.0,320,4.828396837679246,23.313416022110935,0.0016,23.311816022110936,0.0,0.0,False,1.0,0.0,1.0,0.0
6,2320,high_dynamic_accel_turn_l56__nominal_seen,320,-1806.9033671437408,False,False,3.9806862584874403,2320,uniform,disabled,configured_initial,1.0,1.0,0.0,320,1.675102888850579,2.8059696882355554,0.0016,2.8043696882355555,0.0,0.0,False,1.0,0.0,1.0,0.0
7,2640,high_dynamic_accel_turn_l56__low_friction_seen,320,-6405.002222209877,False,False,5.92878525430494,2640,uniform,disabled,configured_initial,1.0,1.0,0.0,320,3.1610456350874165,9.992209507105208,0.0016,9.990609507105209,0.0,0.0,False,1.0,0.0,1.0,0.0
8,2980,high_dynamic_chicane_l56__high_mass_seen,340,-9917.344415977072,False,False,8.722800971440124,2980,uniform,disabled,configured_initial,1.0,1.0,0.0,340,3.7846539077642807,14.323605201555441,0.0016,14.322005201555442,0.0,0.0,False,1.0,0.0,1.0,0.0
9,3165,high_dynamic_accel_straight_l56__low_friction_seen,185,54.13711099006633,True,False,0.22777571371606245,3165,uniform,disabled,configured_initial,1.0,1.0,0.0,185,0.29459360945442314,0.08678539473138518,0.0016,0.08518539473138517,0.0,0.0,False,1.0,0.0,1.0,0.0
10,3333,high_dynamic_chicane_l56__high_mass_seen,168,-114.06538464612197,True,False,0.22629690925934864,3333,uniform,disabled,configured_initial,1.0,1.0,0.0,168,0.6043098035023265,0.3651903386090205,0.0016,0.3635903386090205,0.0,0.0,False,1.0,0.0,1.0,0.0
11,3633,high_dynamic_sweep_l56__high_mass_seen,300,-1881.2973177509548,False,False,4.096662483003095,3633,uniform,disabled,configured_initial,1.0,1.0,0.0,300,1.7770085852730915,3.1577595121342736,0.0016,3.156159512134274,0.0,0.0,False,1.0,0.0,1.0,0.0
12,3973,high_dynamic_chicane_l56__high_mass_seen,340,-3680.1328717159204,False,False,5.425768582538252,3973,uniform,disabled,configured_initial,1.0,1.0,0.0,340,2.315405639217631,5.361103274120807,0.0016,5.359503274120807,0.0,0.0,False,1.0,0.0,1.0,0.0
13,4273,high_dynamic_sweep_l56__low_friction_seen,300,-4842.483036999211,False,False,5.898392049695469,4273,uniform,disabled,configured_initial,1.0,1.0,0.0,300,2.830365087581091,8.010966528997916,0.0016,8.009366528997916,0.0,0.0,False,1.0,0.0,1.0,0.0
14,4573,high_dynamic_sweep_l56__nominal_seen,300,-2694.615121541224,False,False,5.8667006833954165,4573,uniform,disabled,configured_initial,1.0,1.0,0.0,300,2.022644259419592,4.091089800163031,0.0016,4.089489800163031,0.0,0.0,False,1.0,0.0,1.0,0.0
15,4913,high_dynamic_chicane_l56__long_delay_seen,340,-4519.400791379107,False,False,6.038349939177253,4913,uniform,disabled,configured_initial,1.0,1.0,0.0,340,2.5553474696223692,6.529800690505446,0.0016,6.528200690505447,0.0,0.0,False,1.0,0.0,1.0,0.0
16,5273,high_dynamic_accel_straight_l56__long_delay_seen,360,-1115.2411139640533,False,False,2.5515814781579116,5273,uniform,disabled,configured_initial,1.0,1.0,0.0,360,1.2472269850723001,1.5555751522925396,0.0016,1.5539751522925396,0.0,0.0,False,1.0,0.0,1.0,0.0
17,5410,high_dynamic_accel_straight_l56__nominal_seen,137,84.5639302867456,True,False,0.24610617628872267,5410,uniform,disabled,configured_initial,1.0,1.0,0.0,137,0.21045270394704838,0.044290340598623995,0.0016,0.042690340598624,0.0,0.0,False,1.0,0.0,1.0,0.0
18,5750,high_dynamic_chicane_l56__nominal_seen,340,-457.63457884390226,False,False,0.397762838820078,5750,uniform,disabled,configured_initial,1.0,1.0,0.0,340,0.7972827897866682,0.6356598468900126,0.0016,0.6340598468900126,0.0,0.0,False,1.0,0.0,1.0,0.0
19,6070,high_dynamic_accel_turn_l56__high_mass_seen,320,-274.60933112828104,False,False,1.0436285468887299,6070,uniform,disabled,configured_initial,1.0,1.0,0.0,320,0.678513823897401,0.46038100921987324,0.0016,0.45878100921987325,0.0,0.0,False,1.0,0.0,1.0,0.0
20,6337,high_dynamic_accel_turn_l56__high_mass_seen,267,-4.3876525037016165,True,False,0.23926338310443057,6337,uniform,disabled,configured_initial,1.0,1.0,0.0,267,0.35815000634197397,0.128271427042756,0.0016,0.126671427042756,0.0,0.0,False,1.0,0.0,1.0,0.0
21,6560,high_dynamic_chicane_l56__nominal_seen,223,61.53330764057965,True,False,0.2446886629385509,6560,uniform,disabled,configured_initial,1.0,1.0,0.0,223,0.28418478885105974,0.08076099421432141,0.0016,0.0791609942143214,0.0,0.0,False,1.0,0.0,1.0,0.0
22,6756,high_dynamic_accel_turn_l56__low_friction_seen,196,89.4366523164605,True,False,0.23350725216440843,6756,uniform,disabled,configured_initial,1.0,1.0,0.0,196,0.23025910832961255,0.05301925696874825,0.0016,0.05141925696874825,0.0,0.0,False,1.0,0.0,1.0,0.0
23,6911,high_dynamic_accel_straight_l56__low_friction_seen,155,92.56773493996586,True,False,0.24753987749042836,6911,uniform,disabled,configured_initial,1.0,1.0,0.0,155,0.15128572513094604,0.02288737062839616,0.0016,0.021287370628396158,0.0,0.0,False,1.0,0.0,1.0,0.0
24,7096,high_dynamic_accel_turn_l56__long_delay_seen,185,106.24756048979953,True,False,0.2434607024173652,7096,uniform,disabled,configured_initial,1.0,1.0,0.0,185,0.1538019977796775,0.023655054521019923,0.0016,0.022055054521019923,0.0,0.0,False,1.0,0.0,1.0,0.0
25,7239,high_dynamic_sweep_l56__high_mass_seen,143,91.14451599383784,True,False,0.23090717133020452,7239,uniform,disabled,configured_initial,1.0,1.0,0.0,143,0.17115532256949786,0.029294144443868866,0.0016,0.027694144443868866,0.0,0.0,False,1.0,0.0,1.0,0.0
26,7437,high_dynamic_chicane_l56__long_delay_seen,198,69.0449230150449,True,False,0.23246142947903686,7437,uniform,disabled,configured_initial,1.0,1.0,0.0,198,0.27379276585297835,0.07496247863342384,0.0016,0.07336247863342384,0.0,0.0,False,1.0,0.0,1.0,0.0
27,7618,high_dynamic_accel_turn_l56__high_mass_seen,181,110.04179687442075,True,False,0.24905055202710552,7618,uniform,disabled,configured_initial,1.0,1.0,0.0,181,0.13490739333179425,0.018200004775579443,0.0016,0.016600004775579442,0.0,0.0,False,1.0,0.0,1.0,0.0
28,7808,high_dynamic_chicane_l56__high_mass_seen,190,76.28076741693445,True,False,0.23361574242472666,7808,uniform,disabled,configured_initial,1.0,1.0,0.0,190,0.25767918012054863,0.06639855986759814,0.0016,0.06479855986759814,0.0,0.0,False,1.0,0.0,1.0,0.0
29,7964,high_dynamic_sweep_l56__low_friction_seen,156,86.27675335330376,True,False,0.22802964483450047,7964,uniform,disabled,configured_initial,1.0,1.0,0.0,156,0.19919099670248078,0.03967705316732771,0.0016,0.038077053167327714,0.0,0.0,False,1.0,0.0,1.0,0.0
30,8324,high_dynamic_accel_straight_l56__long_delay_seen,360,-493.74960798742194,False,False,1.1381335086457027,8324,uniform,disabled,configured_initial,1.0,1.0,0.0,360,0.7769710693073605,0.6036840425406231,0.0016,0.6020840425406231,0.0,0.0,False,1.0,0.0,1.0,0.0
