step,time_s,branch_id,center_crossing_count,path_progress_ratio,progress_delta,branch_change,center_change,regression,jump
22,2.1999999999999793,1,0,0.014507812004085146,0.00059187452899458,True,False,False,False
38,3.799999999999803,2,0,0.027669369306769387,0.00020150762224285107,True,False,False,False
55,5.499999999999616,3,0,0.04055432869134289,0.0004329810282849983,True,False,False,False
69,6.899999999999462,4,0,0.05243311990478675,0.0007529298592005018,True,False,False,False
83,8.299999999999441,5,0,0.06321181533555276,0.00022951717401761829,True,False,False,False
95,9.499999999999842,6,0,0.07304210345435234,0.0003144240979468249,True,False,False,False
111,11.100000000000376,7,0,0.08238343622021134,0.00024894412861253823,True,False,False,False
133,13.300000000001111,8,0,0.09195500328878284,0.00013168459321716286,True,False,False,False
277,27.699999999995526,9,0,0.10249235229701498,5.9450906910063495e-05,True,False,False,False
