episode,global_step,scene,length,return,success,collision,goal_distance,replay_size,curriculum_phase,initial_state_phase,initial_state_name,rl_gate_alpha_mean,distance_gate_alpha_mean,intrinsic_exploration_return,replay_labeled_transitions,cross_track_rmse,precision_constraint_cost_mean_square,precision_constraint_target_mean_square,precision_constraint_violation,precision_constraint_multiplier_before,precision_constraint_multiplier,precision_constraint_feasible,covariance_scale_0_mean,covariance_scale_0_std,covariance_scale_1_mean,covariance_scale_1_std
21,6197,high_dynamic_chicane_l56__long_delay_seen,204,69.3732301722713,True,False,0.23624361549972298,6197,uniform,disabled,configured_initial,1.0,1.0,0.0,204,0.27224814363878835,0.07411905171476632,0.0016,0.07251905171476632,0.0,0.0,False,1.0,0.0,1.0,0.0
22,6339,high_dynamic_accel_straight_l56__low_friction_seen,142,92.91144512265822,True,False,0.217193710024694,6339,uniform,disabled,configured_initial,1.0,1.0,0.0,142,0.14028305385302778,0.01967933519833149,0.0016,0.01807933519833149,0.0,0.0,False,1.0,0.0,1.0,0.0
23,6477,high_dynamic_accel_straight_l56__nominal_seen,138,85.68690169255888,True,False,0.23349289267687837,6477,uniform,disabled,configured_initial,1.0,1.0,0.0,138,0.19670732405497138,0.03869377133686752,0.0016,0.037093771336867525,0.0,0.0,False,1.0,0.0,1.0,0.0
24,6648,high_dynamic_accel_turn_l56__nominal_seen,171,106.15043736666853,True,False,0.24274712313667737,6648,uniform,disabled,configured_initial,1.0,1.0,0.0,171,0.15236386645090724,0.023214747799869897,0.0016,0.021614747799869896,0.0,0.0,False,1.0,0.0,1.0,0.0
25,6827,high_dynamic_accel_turn_l56__high_mass_seen,179,110.91294829974893,True,False,0.23857922308033697,6827,uniform,disabled,configured_initial,1.0,1.0,0.0,179,0.12298400340889683,0.015125065094479546,0.0016,0.013525065094479545,0.0,0.0,False,1.0,0.0,1.0,0.0
26,7000,high_dynamic_accel_turn_l56__nominal_seen,173,104.0747823322595,True,False,0.23740138509887973,7000,uniform,disabled,configured_initial,1.0,1.0,0.0,173,0.16859598520359745,0.028424606226771648,0.0016,0.026824606226771647,0.0,0.0,False,1.0,0.0,1.0,0.0
27,7204,high_dynamic_chicane_l56__low_friction_seen,204,90.48906256627531,True,False,0.22324570513281558,7204,uniform,disabled,configured_initial,1.0,1.0,0.0,204,0.18560693988153704,0.034449936132188504,0.0016,0.032849936132188506,0.0,0.0,False,1.0,0.0,1.0,0.0
28,7332,high_dynamic_accel_straight_l56__nominal_seen,128,99.78343437380981,True,False,0.24482114883305386,7332,uniform,disabled,configured_initial,1.0,1.0,0.0,128,0.0512060943190313,0.0026220640954095296,0.0016,0.0010220640954095295,0.0,0.0,False,1.0,0.0,1.0,0.0
29,7482,high_dynamic_sweep_l56__high_mass_seen,150,101.20003588735119,True,False,0.21274304196666796,7482,uniform,disabled,configured_initial,1.0,1.0,0.0,150,0.07158034640411115,0.005123745991332548,0.0016,0.003523745991332548,0.0,0.0,False,1.0,0.0,1.0,0.0
30,7610,high_dynamic_accel_straight_l56__high_mass_seen,128,99.92555447029943,True,False,0.22538791023489912,7610,uniform,disabled,configured_initial,1.0,1.0,0.0,128,0.05997549125061969,0.0035970595507531593,0.0016,0.001997059550753159,0.0,0.0,False,1.0,0.0,1.0,0.0
