benchmark_arm,scene,episodes,independent_seeds,success_mean,success_sd_episode_descriptive,collision_mean,collision_sd_episode_descriptive,path_completion_ratio_mean,path_completion_ratio_sd_episode_descriptive,path_cross_track_rmse_recomputed_mean,path_cross_track_rmse_recomputed_sd_episode_descriptive,final_goal_distance_mean,final_goal_distance_sd_episode_descriptive,steps_mean,steps_sd_episode_descriptive,minimum_clearance_mean,minimum_clearance_sd_episode_descriptive,control_jerk_mean,control_jerk_sd_episode_descriptive,safety_interventions_mean,safety_interventions_sd_episode_descriptive,planner_compute_ms_mean_mean,planner_compute_ms_mean_sd_episode_descriptive,reliability_hss_enabled_fraction_mean,residual_policy_context_enabled_fraction_mean,reliability_proposal_authority_mean_mean,reliability_proposal_fallback_fraction_mean_mean
full_proposed,all,18,3,0.5,0.5144957554275266,0.0,0.0,0.6910240952077537,0.3042580167754585,0.16579483347120252,0.08163840273482127,1.412431813355114,1.4507432674407401,729.6111111111111,186.58388395473494,0.22031944453019134,0.09460872088763671,0.21882109460161342,0.03405723885067703,453.94444444444446,246.7009316423483,353.1039549007505,8.935072670595751,1.0,1.0,0.0,1.0
full_proposed,l218_cylinder_forest,3,3,1.0,0.0,0.0,0.0,0.9646089124132936,0.0003762967554026188,0.19500053959051786,0.03313100781522666,0.2930434572344725,0.0044998323218817995,573.6666666666666,45.76388678131845,0.14529678859145187,0.0066763125254570045,0.2115920093520219,0.005141786814700602,260.6666666666667,39.17056718166503,356.72624670868703,4.024205411378951,1.0,1.0,0.0,1.0
full_proposed,l218_cylinder_spiral,3,3,0.0,0.0,0.0,0.0,0.6117093253628793,0.03653417033051042,0.04525463823293677,0.0019715143022079793,1.5010140109338692,0.003954219758018848,900.0,0.0,0.13363678536116277,0.0037439689910099784,0.24772336736496606,0.004088005715717029,661.3333333333334,20.5993527406405,350.528287005932,3.6195354612209987,1.0,1.0,0.0,1.0
full_proposed,l218_giant_u,3,3,1.0,0.0,0.0,0.0,0.9689063327054185,0.00040421778360970047,0.24615472604456148,0.01844992718203047,0.2935703694520015,0.00379014137615823,451.3333333333333,17.67295485574875,0.39606213456272926,0.011320013153607934,0.2012555237404523,0.008187438379208725,89.0,24.758836806279895,369.2305202421339,1.5935162977377721,1.0,1.0,0.0,1.0
full_proposed,l218_nested_u,3,3,0.0,0.0,0.0,0.0,0.3784115347499253,0.002526526749442797,0.07318732377466786,0.01715700107412517,1.849626793540463,0.0158301488754336,900.0,0.0,0.1890619350879883,0.03558302780378364,0.24116956978028936,0.0030361913141987306,751.0,18.520259177452136,349.7473270886931,3.698658581086954,1.0,1.0,0.0,1.0
full_proposed,l218_opposed_u,3,3,1.0,0.0,0.0,0.0,0.9682247199935459,0.0001953210425737482,0.23687653374263207,0.0035021707982264274,0.2994660743426338,0.0005236263262194153,652.6666666666666,36.69241520169166,0.24513792473355944,0.07716667632385,0.15876880109934466,0.008889754685846908,342.6666666666667,44.10593308539491,349.4146519621552,4.448874996331994,1.0,1.0,0.0,1.0
full_proposed,l218_serpentine,3,3,0.0,0.0,0.0,0.0,0.2542837460214593,0.005300217774493792,0.19829523944189908,0.01067600688943372,4.237870174627244,0.027962442695384192,900.0,0.0,0.21272109884425636,0.012512231936383898,0.2524172962726062,0.003847169826318134,619.0,18.24828759089466,342.9766963969019,1.550535543430095,1.0,1.0,0.0,1.0
simple_combination,all,18,3,0.0,0.0,0.0,0.0,0.055507104794365346,0.05749344617373968,0.4385951619927481,0.14552627111051433,4.594758384555808,2.1547756155429876,900.0,0.0,0.5448050402556653,0.19333849030536393,0.21604956887731977,0.025172742718091393,229.0,214.90627231970905,455.87820978372264,18.82820777957753,0.0,1.0,1.0,0.0
simple_combination,l218_cylinder_forest,3,3,0.0,0.0,0.0,0.0,0.016537256485709136,0.0018553721263219294,0.3858962476594671,0.015428093371460635,7.749571503314841,0.006884701936804933,900.0,0.0,0.6272206185288173,0.008470460995440045,0.2598091279877086,0.004416474269878513,6.333333333333333,0.5773502691896258,472.0728548961105,4.96430090974017,0.0,1.0,1.0,0.0
simple_combination,l218_cylinder_spiral,3,3,0.0,0.0,0.0,0.0,0.10427041887527562,0.006569592813488084,0.5545867308342793,0.09223025038875264,2.6883834725140887,0.0644389128937123,900.0,0.0,0.6501513118487012,0.06091983866861626,0.23208236190407636,0.00904703612147846,498.0,33.645207682521445,440.02093416364886,0.8714001287378226,0.0,1.0,1.0,0.0
