scene,seed,success,termination_reason,steps,collision,path_completion_ratio,final_goal_distance,path_cross_track_rmse,minimum_clearance,safety_interventions,planner_compute_ms_mean,proposal_authority_mean,proposal_fallback_fraction_mean,rollouts_per_decision,iterations,plant_backend,mujoco_version,prediction_mode,benchmark_git_sha,run_dir
l218_serpentine,91001,False,max_steps,1400,False,0.2656727438830632,4.298647659005338,0.3920252613876501,0.20504087650034358,1035,313.92894505329815,0.0,1.0,100,2,mujoco_diff_drive,3.2.3,icode_residual,ae5f25af129a9882dfd14bd768bc441e540ee359,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_serpentine_seed91001/runs/full_proposed/full_proposed__l218_serpentine__nominal_seen__seed91001
l218_nested_u,91001,False,max_steps,1400,False,0.27203425878985193,2.2829105571672894,0.3780609841561488,0.147135677000515,933,311.03245692566685,0.0,1.0,100,2,mujoco_diff_drive,3.2.3,icode_residual,ae5f25af129a9882dfd14bd768bc441e540ee359,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_nested_u_seed91001/runs/full_proposed/full_proposed__l218_nested_u__nominal_seen__seed91001
l218_cylinder_spiral,91001,False,max_steps,1400,False,0.6374992965827311,1.5049255880735593,0.04133751866256918,0.13748088742057343,1115,313.9166738624044,0.0,1.0,100,2,mujoco_diff_drive,3.2.3,icode_residual,ae5f25af129a9882dfd14bd768bc441e540ee359,/home/mapples/projects/mobile-robot-mppi-study/results/research_platform/rl/l218_dev_screen_full_budget_probe_cylinder_spiral_seed91001/runs/full_proposed/full_proposed__l218_cylinder_spiral__nominal_seen__seed91001
