episode_id,split,seed,scene,physics_domain,authority,level,rollout_error,terminal_error,windows
validation_000_00,validation,22839000,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.2968503919848937,low,0.18121095613652388,0.21231487591741666,101
validation_000_01,validation,22839037,high_dynamic_accel_straight_l56__nominal_seen,nominal_seen,0.3834881850836343,medium,0.162960298836309,0.18760172954248908,99
validation_001_00,validation,22840009,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.5058618604252586,medium,0.15954224563884206,0.18088758376606395,103
validation_001_01,validation,22840046,high_dynamic_accel_straight_l56__high_mass_seen,high_mass_seen,0.4149282855403074,medium,0.15864161899510643,0.1841164656121334,100
validation_002_00,validation,22841018,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.06417741490987314,low,0.3342343918178772,0.4129270779601154,120
validation_002_01,validation,22841055,high_dynamic_accel_straight_l56__low_friction_seen,low_friction_seen,0.05471992597412982,low,0.33902960192197334,0.4139661642469898,123
validation_003_00,validation,22842027,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.14064978523793156,low,0.18535840715297777,0.21164501420931467,105
validation_003_01,validation,22842064,high_dynamic_accel_straight_l56__long_delay_seen,long_delay_seen,0.22851863946710904,low,0.1861173603356406,0.22080943373763512,103
validation_004_00,validation,22843036,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.5585061136703383,medium,0.13344955127700778,0.1573875297785374,129
validation_004_01,validation,22843073,high_dynamic_accel_turn_l56__nominal_seen,nominal_seen,0.5825960598819866,medium,0.13002079612433254,0.15548686062437736,136
validation_005_00,validation,22844045,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.5509539670217676,medium,0.11458573372496197,0.13475036062511667,128
validation_005_01,validation,22844082,high_dynamic_accel_turn_l56__high_mass_seen,high_mass_seen,0.516699350945175,medium,0.1290313401703621,0.1519853792817197,130
validation_006_00,validation,22845054,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.3598429214775222,medium,0.20067075077426022,0.24498608131938535,143
validation_006_01,validation,22845091,high_dynamic_accel_turn_l56__low_friction_seen,low_friction_seen,0.3708497458774341,medium,0.181424845585134,0.21912536168016267,139
validation_007_00,validation,22846063,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.3056904961217877,low,0.15891674173570264,0.1827849290738929,133
validation_007_01,validation,22846100,high_dynamic_accel_turn_l56__long_delay_seen,long_delay_seen,0.440349313191024,medium,0.15420051939870866,0.17397223271406803,133
