ablation_block,applied_control_jerk,arm,block_order,boundary_violation,boundary_violation_steps,collision,collision_free,conflict_q05_clearance,conflict_q05_used_episode_fallback,conflict_traversal_censored,conflict_traversal_time_failure_penalized_s,conflict_window_sample_count,direction_switch_count,failure_penalized_steps,final_goal_distance,minimum_clearance,model_block,path_progress_m_max,planner_compute_ms_p95_health_only,planner_deadline_miss_rate_health_only,premature_reverse_count,release_delay_censored_events,release_delay_event_count,release_delay_max_s,release_delay_mean_s,risk_or_raw_closing_steps,safe_success,seed,spin_steps,split,steps,stuck_steps,three_phase_oscillation_count,time_to_goal_s,trajectory_length,zero_speed_risk_fraction,zero_speed_risk_steps
False,0.05511968624602244,B11_full_proposed,1,False,0,False,True,0.3604867549839982,False,False,6.09999999999954,30,3,400,1.1261234811142231,0.1194478613043588,2,7.676243173014546,486.55377500090253,1.0,0,0,3,7.299999999995954,3.5333333333314414,81,False,740300251,21,ood,400,33,0,,10.599560736916107,0.32098765432098764,26
False,0.036439155090726164,B10_learning_only,1,False,0,True,False,0.3261803019303115,False,False,5.999999999999551,30,0,400,4.306420082251,-0.058358619510053944,2,4.493831315924853,471.32500000225264,1.0,0,0,0,0.0,0.0,0,False,740300251,9,ood,166,19,0,,4.537355711794414,0.0,0
False,0.13297888849073367,B01_probability_only,1,False,0,True,False,0.36049543836031306,False,False,6.09999999999954,30,1,400,5.001927068285668,-0.001636683158910468,2,4.0484458698746755,45.91195000048174,0.0,0,1,2,2.1999999999987807,1.1999999999993904,29,False,740300251,11,ood,204,40,0,,4.6883246547994375,0.3448275862068966,10
False,0.029790293044117816,B00_strong_nominal_mppi,1,False,0,True,False,0.3176245109601074,False,False,5.499999999999606,30,0,400,4.051044892885949,-0.008560752180972353,2,4.749150363439572,10.02185999750509,0.0,0,0,0,0.0,0.0,0,False,740300251,3,ood,169,13,0,,4.761392084916473,0.0,0
False,0.0640476648553411,B01_probability_only,2,False,0,False,True,0.36923835797531473,False,False,6.3999999999995065,30,1,383,0.2919414377546314,0.36066281595623173,0,8.568884878322386,39.961350000521634,0.0,0,0,1,0.29999999999998894,0.29999999999998894,16,True,740200171,0,id,383,19,0,38.30000000000084,9.546953397425257,0.625,10
False,0.02616715600411478,B10_learning_only,2,False,0,False,True,0.3272995313145501,False,False,6.5999999999994845,30,1,305,0.2978083097872261,0.3240156431689112,0,8.502642478389864,464.78016000110074,1.0,1,0,0,0.0,0.0,0,True,740200171,10,id,305,19,0,30.499999999993975,8.64104868247363,0.0,0
False,0.027299498351879208,B11_full_proposed,2,False,0,False,True,0.3600984387173335,False,False,5.999999999999551,30,1,302,0.29457535696998965,0.3511502046579601,0,8.506146087681007,479.3054749998191,1.0,0,0,1,0.19999999999998885,0.19999999999998885,17,True,740200171,0,id,302,8,0,30.19999999999414,8.798974089243458,0.6470588235294118,11
False,0.01890623032335461,B00_strong_nominal_mppi,2,False,0,False,True,0.3208653544857632,False,False,5.599999999999595,30,0,294,0.29596070843380373,0.3183734389770785,0,8.504039299044104,9.47778500176355,0.0,0,0,0,0.0,0.0,0,True,740200171,0,id,294,17,0,29.399999999994584,8.509866240426852,0.0,0
False,0.021569672276411607,B10_learning_only,3,False,0,False,True,0.3255398938976373,False,False,7.399999999999396,37,0,304,0.2851276982392846,0.3246935970045277,2,8.51960890654246,465.7557099999394,1.0,0,0,0,0.0,0.0,0,True,740200207,16,id,304,27,0,30.39999999999403,8.531496395378106,0.0,0
False,0.030983056396839206,B11_full_proposed,3,False,0,False,True,0.37039409615188235,False,False,7.399999999999396,37,1,311,0.29303384692241025,0.3606890236939898,2,8.507230580183554,479.8444999996718,1.0,0,0,2,0.6999999999999338,0.4499999999999559,23,True,740200207,0,id,311,11,0,31.099999999993642,8.976358977585663,0.4782608695652174,11
