arm,endpoint,mean_or_rate,median,n,q25,q75,sd,split
B00_strong_nominal_mppi,safe_success,0.7861111111111111,,360,,,,pooled
B00_strong_nominal_mppi,collision,0.21388888888888888,,360,,,,pooled
B00_strong_nominal_mppi,boundary_violation,0.0,,360,,,,pooled
B00_strong_nominal_mppi,failure_penalized_steps,323.18333333333334,300.0,360,296.0,328.75,41.4736181540207,pooled
B00_strong_nominal_mppi,final_goal_distance,0.9260414127948069,0.29311845059864383,360,0.28578661024922686,0.29902814987443616,1.42547003484776,pooled
B00_strong_nominal_mppi,path_progress_m_max,7.886594020758877,8.50952175678368,360,8.501489348441506,8.517161779245496,1.4240730017804095,pooled
B00_strong_nominal_mppi,minimum_clearance,0.228057529799887,0.31419686499655847,360,0.09116379090091628,0.31845566725587066,0.15001581216653512,pooled
B00_strong_nominal_mppi,conflict_q05_clearance,0.3052096124017039,0.3193630207416202,360,0.3120941436262374,0.3232189835417363,0.11439821224566073,pooled
B00_strong_nominal_mppi,trajectory_length,8.004163285794066,8.53014275967584,360,8.507841043051446,8.677898577485887,1.4483832208530423,pooled
B00_strong_nominal_mppi,applied_control_jerk,0.03737975232838541,0.03237763254461109,360,0.021785891582319836,0.0481523766116765,0.017649350552786127,pooled
B00_strong_nominal_mppi,stuck_steps,16.04722222222222,16.0,360,13.0,19.0,5.555041681588399,pooled
B00_strong_nominal_mppi,spin_steps,2.7555555555555555,2.0,360,0.0,4.0,2.9885989902430175,pooled
B00_strong_nominal_mppi,direction_switch_count,0.0,0.0,360,0.0,0.0,0.0,pooled
B00_strong_nominal_mppi,three_phase_oscillation_count,0.0,0.0,360,0.0,0.0,0.0,pooled
B00_strong_nominal_mppi,premature_reverse_count,0.0,0.0,360,0.0,0.0,0.0,pooled
B00_strong_nominal_mppi,release_delay_max_s,0.0,0.0,360,0.0,0.0,0.0,pooled
B00_strong_nominal_mppi,conflict_traversal_time_failure_penalized_s,21.679722222221788,11.299999999997787,360,5.799999999999573,40.0,16.488008808313545,pooled
B00_strong_nominal_mppi,zero_speed_risk_steps,0.0,0.0,360,0.0,0.0,0.0,pooled
B00_strong_nominal_mppi,planner_compute_ms_p95_health_only,9.925672013869189,9.852747499189718,360,9.704642501174021,10.092405000705185,0.3197292942815589,pooled
B00_strong_nominal_mppi,planner_deadline_miss_rate_health_only,0.0,0.0,360,0.0,0.0,0.0,pooled
B10_learning_only,safe_success,0.8361111111111111,,360,,,,pooled
B10_learning_only,collision,0.15833333333333333,,360,,,,pooled
B10_learning_only,boundary_violation,0.0,,360,,,,pooled
B10_learning_only,failure_penalized_steps,329.43888888888887,310.0,360,303.0,347.25,36.836862954106145,pooled
B10_learning_only,final_goal_distance,0.8301918215030449,0.29312691640476346,360,0.28797704563320514,0.29837400149105353,1.4079039399137663,pooled
B10_learning_only,path_progress_m_max,8.00245298357499,8.51049231269705,360,8.503278798318778,8.51900329952312,1.4167083774047426,pooled
B10_learning_only,minimum_clearance,0.24992512700760552,0.3234028545282301,360,0.15131940180253603,0.32744810402945357,0.14442583387562188,pooled
B10_learning_only,conflict_q05_clearance,0.33148346448545146,0.3283181562503404,360,0.3244766831007906,0.3411033496158953,0.13042327560278408,pooled
B10_learning_only,trajectory_length,8.404674673292737,8.613093222744448,360,8.537094222094588,9.090343734659502,1.572230032271362,pooled
B10_learning_only,applied_control_jerk,0.03418339270578699,0.03181034114132701,360,0.02322557347818429,0.0416842053285887,0.012428017559731368,pooled
B10_learning_only,stuck_steps,19.96388888888889,21.0,360,16.0,23.0,8.260813046436594,pooled
B10_learning_only,spin_steps,9.619444444444444,10.0,360,7.0,12.0,4.536102129772204,pooled
B10_learning_only,direction_switch_count,0.44166666666666665,0.0,360,0.0,1.0,0.6815822162796992,pooled
B10_learning_only,three_phase_oscillation_count,0.0,0.0,360,0.0,0.0,0.0,pooled
B10_learning_only,premature_reverse_count,0.2861111111111111,0.0,360,0.0,1.0,0.458684553536914,pooled
B10_learning_only,release_delay_max_s,0.0,0.0,360,0.0,0.0,0.0,pooled
