control_mean,control_median,endpoint,higher_is_better,mean_favorable_effect,mean_treatment_minus_control,median_treatment_minus_control,n,paired_t_two_sided_95ci,selected_pair_fraction,split,treatment_mean,treatment_median,whole_seed_bootstrap_mean_95ci,wilcoxon_two_sided_p
323.18333333333334,300.0,failure_penalized_steps,False,-16.56111111111111,16.56111111111111,7.0,360,"[13.08334188792079, 20.03888033430143]",,pooled,339.74444444444447,323.5,"[13.155555555555555, 20.080555555555556]",1.9106785380222392e-32
0.926041412794807,0.29311845059864383,final_goal_distance,False,0.08544964605839266,-0.08544964605839266,0.0019007175149562128,360,"[-0.2562565882853926, 0.08535729616860731]",,pooled,0.8405917667364144,0.2943756117349381,"[-0.2556074116315202, 0.08402069472120172]",0.02759213621452752
7.886594020758878,8.50952175678368,path_progress_m_max,True,0.13305170919502957,0.13305170919502957,-0.001619436921325601,360,"[-0.03076480162601178, 0.29686822001607094]",,pooled,8.019645729953908,8.508247116712262,"[-0.029980242292707803, 0.29584135025771435]",0.20415746864102546
0.228057529799887,0.31419686499655847,minimum_clearance,True,0.05656607692444644,0.05656607692444644,0.032636910743115866,360,"[0.042000359727804665, 0.07113179412108822]",,pooled,0.28462360672433346,0.351053526738759,"[0.04208222342886004, 0.07110318980218053]",8.499371220061812e-30
0.3052096124017039,0.3193630207416202,conflict_q05_clearance,True,0.1033945204239724,0.1033945204239724,0.04601062882829174,360,"[0.08601090476345699, 0.12077813608448781]",,pooled,0.40860413282567626,0.3692248636403168,"[0.08680244405466311, 0.12144804017454346]",1.472503615122035e-52
8.004163285794066,8.53014275967584,trajectory_length,False,-0.7235072696947603,0.7235072696947603,0.30742331927084,360,"[0.5369338873193148, 0.9100806520702058]",,pooled,8.727670555488826,8.852135501983863,"[0.5397377202766629, 0.9110808961807051]",5.524620204450574e-38
0.03737975232838542,0.03237763254461109,applied_control_jerk,False,-0.0032821296004557003,0.0032821296004557003,0.002441870779425339,360,"[0.0018912785365412864, 0.004672980664370115]",,pooled,0.04066188192884112,0.039089157388504284,"[0.001912567506847877, 0.004688627425985135]",5.5001926764450646e-06
16.04722222222222,16.0,stuck_steps,False,-4.308333333333334,4.308333333333334,0.0,360,"[2.723581312692959, 5.893085353973708]",,pooled,20.355555555555554,15.5,"[2.7527777777777778, 5.905555555555556]",0.001638890087320631
2.7555555555555555,2.0,spin_steps,False,-0.5888888888888889,0.5888888888888889,-1.0,360,"[-0.19726837117808604, 1.3750461489558639]",,pooled,3.3444444444444446,0.0,"[-0.17222222222222222, 1.3888888888888888]",0.0001675038188916248
0.0,0.0,direction_switch_count,False,-1.663888888888889,1.663888888888889,1.0,360,"[1.5334771384053583, 1.7943006393724197]",,pooled,1.663888888888889,1.0,"[1.5361111111111112, 1.7972222222222223]",1.6407994623748177e-62
0.0,0.0,three_phase_oscillation_count,False,-0.07777777777777778,0.07777777777777778,0.0,360,"[0.037645202044599604, 0.11791035351095595]",,pooled,0.07777777777777778,0.0,"[0.041666666666666664, 0.12222222222222222]",2.2124753047553666e-05
0.0,0.0,premature_reverse_count,False,-0.016666666666666666,0.016666666666666666,0.0,360,"[0.003379198801588582, 0.029954134531744753]",,pooled,0.016666666666666666,0.0,"[0.005555555555555556, 0.030555555555555555]",0.014305878435429619
0.0,0.0,release_delay_max_s,False,-0.7774999999998539,0.7774999999998539,0.39999999999997793,360,"[0.6743857798359253, 0.8806142201637824]",,pooled,0.7774999999998539,0.39999999999997793,"[0.6799999999998957, 0.8844444444442989]",9.378465206569006e-61
21.67972222222179,11.299999999997787,conflict_traversal_time_failure_penalized_s,False,0.15055555555573769,-0.15055555555573769,0.0,360,"[-0.8408049404275848, 0.5396938293161093]",,pooled,21.52916666666605,10.5999999999976,"[-0.8497222222224221, 0.5277847222221058]",2.6116839607293654e-14
