scene,start_step,stop_step,start_progress_m,stop_progress_m,progress_delta_m,progress_rate_mps,proposed_v_mean,applied_v_mean,abs_applied_omega_mean,front_slow_fraction,front_soft_block_fraction,near_body_hard_stop_fraction
l222_cylinder_spiral_safe,0,200,0.0011349759991385877,1.4092131921969404,1.4080782161978018,0.07040391080989009,0.09278622881940446,0.06962733877124908,0.3139863506977656,0.875,0.0,0.0
l222_cylinder_spiral_safe,200,400,1.4108970514091363,2.3745736500311097,0.9636765986219733,0.04818382993109867,0.06779356898904153,0.04649621534359403,0.30976067138656804,0.865,0.0,0.06
l222_cylinder_spiral_safe,400,600,2.3746513680077426,4.179826678449438,1.8051753104416957,0.09025876552208478,0.11300864029732953,0.09060594918315822,0.2857959014836601,0.835,0.0,0.02
l222_cylinder_spiral_safe,600,800,4.180107791763069,4.29256945471422,0.11246166295115145,0.005623083147557573,0.055868707844656924,0.0056317268469835875,0.240619964441378,0.2,0.0,0.8
l222_cylinder_spiral_safe,800,1000,4.29256945471422,4.3864310566661375,0.09386160195191717,0.004693080097595859,0.05491005956228964,0.004791558644149304,0.30027232930702247,0.225,0.0,0.775
l222_cylinder_spiral_safe,1000,1200,4.386974046697984,7.214522640899909,2.827548594201925,0.14137742971009626,0.145017264400047,0.13082812161103877,0.33726524347257403,0.435,0.0,0.065
l222_cylinder_spiral_safe,1200,1215,7.215364112339807,7.249238002551138,0.03387389021133114,0.022582593474220758,0.022233912000007024,0.02074589154916768,0.005201141556134043,1.0,0.0,0.0
l222_nested_u_safe,0,200,0.0012421053814274483,1.6802116119331578,1.6789695065517303,0.08394847532758651,0.11685530987484202,0.09065181195707125,0.3343322741051981,0.81,0.0,0.0
l222_nested_u_safe,200,400,1.683500175941091,2.250180627834257,0.5666804518931658,0.02833402259465829,0.06320073005698415,0.02321549425176986,0.24449729488126246,0.965,0.035,0.0
l222_nested_u_safe,400,600,2.250807752190994,2.5581639103389167,0.3073561581479227,0.015367807907396136,0.036539408912025576,0.015732743146942205,0.2762391382997025,1.0,0.0,0.0
l222_nested_u_safe,600,800,2.5592111315236,2.91601502491592,0.3568038933923199,0.017840194669615995,0.04218723991883227,0.01828037832691589,0.22501260709360493,1.0,0.0,0.0
l222_nested_u_safe,800,1000,2.918354719053135,3.2882653737162677,0.36991065466313255,0.018495532733156628,0.04622485228058159,0.01877726169780974,0.23551688948509708,0.995,0.005,0.0
l222_nested_u_safe,1000,1200,3.28958211101709,3.7985544373039213,0.5089723262868313,0.025448616314341567,0.05262090677170754,0.025846201352910967,0.2179159974525598,0.995,0.005,0.0
l222_nested_u_safe,1200,1400,3.8022641846419662,4.217249522103801,0.41498533746183464,0.020749266873091733,0.05158756316700655,0.02151314990869882,0.28188288600148687,0.88,0.12,0.0
l222_serpentine_safe,0,200,0.0006896996852886471,1.975572455810957,1.9748827561256685,0.09874413780628342,0.13081015041621127,0.12099018575507565,0.2681437496008042,0.79,0.0,0.0
l222_serpentine_safe,200,400,1.9859248601112909,5.62951398647023,3.6435891263589393,0.18217945631794696,0.23323809601907833,0.22261956122613058,0.3591152205280531,0.53,0.0,0.0
l222_serpentine_safe,400,600,5.632319648014611,6.241311594317844,0.6089919463032336,0.03044959731516168,0.05619015708731525,0.03010128972238849,0.28743336938792674,1.0,0.0,0.0
l222_serpentine_safe,600,800,6.242052959805511,6.859581600656867,0.6175286408513561,0.030876432042567802,0.058709099907074694,0.0322736363079067,0.29467531417036386,1.0,0.0,0.0
l222_serpentine_safe,800,1000,6.861612294310952,7.521266671136053,0.6596543768251015,0.032982718841255074,0.057630701300002814,0.0336500569818434,0.2814089294234542,1.0,0.0,0.0
l222_serpentine_safe,1000,1200,7.521550930889222,8.039981332519309,0.5184304016300869,0.025921520081504345,0.051288481925759404,0.02640799052637353,0.24101600884943694,1.0,0.0,0.0
l222_serpentine_safe,1200,1400,8.044020052362521,8.698604661249716,0.6545846088871947,0.032729230444359735,0.05745356264904729,0.033964413789341126,0.26169579891289485,1.0,0.0,0.0
